linha;lys;coerencia;yield;precisao
1099;1;1;242;0.533039648
1100;1;1;243;0.534065934
1101;1;1;244;0.535087719
1102;1;0;244;0.533916849
1104;1;1;245;0.534934498
1111;1;1;246;0.535947712
1112;1;1;247;0.536956522
1113;1;0;247;0.535791757
1114;1;1;248;0.536796537
1115;1;1;249;0.537796976
1116;1;0;249;0.536637931
1117;1;0;249;0.535483871
1119;1;0;249;0.534334764
1120;1;0;249;0.533190578
1121;1;0;249;0.532051282
1122;1;0;249;0.530916844
1123;1;0;249;0.529787234
1124;1;0;249;0.52866242
1125;1;0;249;0.527542373
1126;1;0;249;0.526427061
1128;1;0;249;0.525316456
1129;1;1;250;0.526315789
1131;1;0;250;0.525210084
1133;1;0;250;0.524109015
1137;1;0;250;0.523012552
1142;1;1;251;0.524008351
1154;1;0;251;0.522916667
1155;1;0;251;0.521829522
1156;1;0;251;0.520746888
1157;1;1;252;0.52173913
1170;1;1;253;0.522727273
1183;1;0;253;0.521649485
1184;1;0;253;0.520576132
11;1;1;254;0.521560575
12;1;1;255;0.522540984
13;1;1;256;0.523517382
17;1;0;256;0.52244898
18;1;0;256;0.521384929
19;1;0;256;0.520325203
24;1;0;256;0.519269777
25;1;1;257;0.520242915
37;1;1;258;0.521212121
49;1;1;259;0.522177419
61;1;1;260;0.523138833
75;1;1;261;0.524096386
77;1;0;261;0.523046092
78;1;1;262;0.524
79;1;1;263;0.5249501
87;1;1;264;0.525896414
88;1;1;265;0.526838966
